ABC,Water,SMBS,Gluten%,SV ml,Moisture,Datetime
6.5,22,110,11.48,27,12.98,2023-04-27:19
6.5,22,110,11.48,27,12.98,2023-04-27:19
6.4,16,100,11.48,27,12.98,2023-04-27:20
6.4,16,100,11.48,27,12.98,2023-04-27:20
6.4,16,100,11.48,27,12.98,2023-04-27:21
6.4,16,100,11.48,27,12.98,2023-04-27:21
6.4,16,100,11.48,27,12.98,2023-04-27:22
6.4,16,100,11.48,27,12.98,2023-04-27:22
6.4,16,100,11.48,27,12.98,2023-04-27:22
6.4,16,100,11.48,27,12.98,2023-04-27:23
6.4,16,100,11.48,27,12.98,2023-04-27:00
6.4,16,100,11.48,27,12.98,2023-04-27:00
6.4,16,100,11.48,27,12.98,2023-04-27:00
6.4,16,100,11.48,27,12.98,2023-04-27:01
6.4,16,100,11.48,27,12.98,2023-04-27:01
6.4,16,100,11.48,27,12.98,2023-04-27:02
6.4,16,100,11.48,27,12.98,2023-04-27:02
6.4,16,100,11.48,27,12.98,2023-04-27:03
6.4,16,100,11.48,27,12.98,2023-04-27:03
6.4,16,100,11.48,27,12.98,2023-04-27:04
7.5,20,130,11.22,28,12.81,2023-04-28:08
7.5,20,130,11.22,28,12.81,2023-04-28:09
7.5,20,130,11.22,28,12.81,2023-04-28:09
7.5,20,130,11.22,28,12.81,2023-04-28:09
7.5,20,130,11.22,28,12.81,2023-04-28:09
7.5,20,130,11.22,28,12.81,2023-04-28:10
7.5,20,130,11.22,28,12.81,2023-04-28:11
7.5,20,130,11.22,28,12.81,2023-04-28:11
7.5,20,130,11.22,28,12.81,2023-04-28:11
7.5,20,130,11.22,28,12.81,2023-04-28:12
7.5,20,130,11.22,28,12.81,2023-04-28:12
7.5,20,130,11.22,28,12.81,2023-04-28:12
7.5,20,130,11.22,28,12.81,2023-04-28:13
7.5,20,130,11.22,28,12.81,2023-04-28:14
7.5,20,130,11.22,28,12.81,2023-04-28:14
7.5,20,130,11.22,28,12.81,2023-04-28:15
7.5,20,130,11.22,28,12.81,2023-04-28:15
7.5,20,130,11.22,28,12.81,2023-04-28:16
7.5,20,130,11.22,28,12.81,2023-04-28:16
7.5,20,130,11.22,28,12.81,2023-04-28:17
7.5,20,130,11.22,28,12.81,2023-04-28:17
7.5,20,130,11.22,28,12.81,2023-04-28:18
6.5,16,130,11.22,28,12.81,2023-04-28:20
6.5,16,130,11.22,28,12.81,2023-04-28:20
6.5,16,130,11.22,28,12.81,2023-04-28:21
6.5,16,130,11.22,28,12.81,2023-04-28:22
6.5,16,130,11.22,28,12.81,2023-04-28:22
6.5,16,130,11.22,28,12.81,2023-04-28:00
6.5,16,130,11.22,28,12.81,2023-04-28:00
6.8,16,130,11.22,28,12.81,2023-04-28:01
6.8,16,130,11.22,28,12.81,2023-04-28:01
6.8,16,130,11.22,28,12.81,2023-04-28:01
6.8,16,130,11.22,28,12.81,2023-04-28:02
6.8,16,130,11.22,28,12.81,2023-04-28:03
6.8,16,130,11.22,28,12.81,2023-04-28:03
6.8,16,130,11.22,28,12.81,2023-04-28:04
6.8,16,130,11.22,28,12.81,2023-04-28:04
6.8,16,130,11.22,28,12.81,2023-04-28:05
6.8,16,130,11.22,28,12.81,2023-04-28:06
6.8,15,140,11.22,28,12.81,2023-04-29:06
6.8,15,140,11.22,28,12.81,2023-04-29:07
6.8,15,140,11.22,28,12.81,2023-04-29:07
6.8,15,140,11.22,28,12.81,2023-04-29:08
6.8,15,140,11.22,28,12.81,2023-04-29:09
6.8,15,140,11.22,28,12.81,2023-04-29:09
6.8,15,140,11.22,28,12.81,2023-04-29:10
6.8,15,140,11.22,28,12.81,2023-04-29:11
6.8,15,140,11.22,28,12.81,2023-04-29:11
6.8,15,140,11.22,28,12.81,2023-04-29:11
6.8,15,140,11.22,28,12.81,2023-04-29:12
6.8,15,140,11.22,28,12.81,2023-04-29:12
6.8,15,140,11.22,28,12.81,2023-04-29:13
6.8,15,140,11.22,28,12.81,2023-04-29:13
6.8,15,140,11.22,28,12.81,2023-04-29:13
6.8,15,140,11.22,28,12.81,2023-04-29:14
6.8,15,140,11.22,28,12.81,2023-04-29:14
6.8,15,140,11.22,28,12.81,2023-04-29:15
6.8,15,140,11.22,28,12.81,2023-04-29:16
6.8,15,140,11.22,28,12.81,2023-04-29:16
6.8,15,140,11.22,28,12.81,2023-04-29:17
6.8,15,140,11.22,28,12.81,2023-04-29:18
6.8,15,140,11.22,28,12.81,2023-04-29:18
5.7,16,130,11.22,28,12.81,2023-04-29:20
5.7,16,130,11.22,28,12.81,2023-04-29:20
5.7,16,130,11.22,28,12.81,2023-04-29:21
5.7,16,130,11.22,28,12.81,2023-04-29:21
5.7,16,130,11.22,28,12.81,2023-04-29:21
5.7,16,130,11.22,28,12.81,2023-04-29:22
5.7,16,130,11.22,28,12.81,2023-04-29:23
5.7,16,130,11.22,28,12.81,2023-04-29:23
5.7,16,130,11.22,28,12.81,2023-04-29:00
5.7,16,130,11.22,28,12.81,2023-04-29:00
5.7,16,130,11.22,28,12.81,2023-04-29:01
5.7,16,130,11.22,28,12.81,2023-04-29:01
5.7,16,130,11.22,28,12.81,2023-04-29:02
5.7,16,130,11.22,28,12.81,2023-04-29:02
5.7,16,130,11.22,28,12.81,2023-04-29:03
5.7,16,130,11.22,28,12.81,2023-04-29:04
5.7,16,130,11.22,28,12.81,2023-04-29:04
5.7,16,130,11.22,28,12.81,2023-04-29:05
5.7,16,130,11.22,28,12.81,2023-04-29:05
5.7,16,130,11.22,28,12.81,2023-04-29:06
5.7,16,140,11.22,28,12.81,2023-04-30:08
5.7,16,140,11.22,28,12.81,2023-04-30:08
5.7,16,140,11.22,28,12.81,2023-04-30:08
5.7,16,140,11.22,28,12.81,2023-04-30:09
5.7,16,140,11.22,28,12.81,2023-04-30:09
5.7,16,140,11.22,28,12.81,2023-04-30:10
5.7,16,140,11.22,28,12.81,2023-04-30:11
5.7,16,140,11.22,28,12.81,2023-04-30:11
5.7,16,140,11.22,28,12.81,2023-04-30:11
5.3,16,140,11.22,28,12.81,2023-04-30:11
5.3,16,140,11.22,28,12.81,2023-04-30:11
5.3,16,140,11.22,28,12.81,2023-04-30:12
5.3,16,140,11.22,28,12.81,2023-04-30:12
5.8,16,140,11.22,28,12.81,2023-04-30:13
5.8,16,140,11.22,28,12.81,2023-04-30:13
5.8,16,140,11.22,28,12.81,2023-04-30:13
5.9,16,140,11.22,28,12.81,2023-04-30:14
5.9,16,140,11.22,28,12.81,2023-04-30:15
5.9,16,140,11.22,28,12.81,2023-04-30:15
5.9,16,140,11.22,28,12.81,2023-04-30:16
6,16,140,11.22,28,12.81,2023-05-02:16
6,16,140,11.22,28,12.81,2023-05-02:16
5.7,16,140,11.22,28,12.81,2023-05-02:17
